event_family,horizon,window_bars,window_type,n_events,ev_mean_abs_ret_pct,ctrl_mean_abs_ret_pct,vol_ratio,ev_jump_rate_pct,ctrl_jump_rate_pct,jump_multiplier,ev_directional_pos_pct,ctrl_directional_pos_pct,mean_signed_ret_bps
STABLECOIN,-4h,-48,PRE,3,1.1150480937325589,0.8461507836784508,1.3177873228431227,0.0,1.2727272727272727,0.0,100.0,52.0,111.50480937325588
STABLECOIN,-1h,-12,PRE,3,0.8824056816151801,0.4095484411893384,2.1545766954354995,0.0,1.090909090909091,0.0,100.0,49.63636363636363,88.24056816151801
STABLECOIN,-15m,-3,PRE,3,0.23585705558654504,0.2056510399560374,1.1468743788632714,0.0,0.8181818181818182,0.0,33.33333333333333,51.45454545454545,-6.085983459260072
EXCHANGE_SECURITY,+5m,1,POST,6,0.37253060004006266,0.11596178995538718,3.212501184072765,16.666666666666664,1.3636363636363635,12.222213259265832,16.666666666666664,51.45454545454545,-22.34000990490278
EXCHANGE_SECURITY,+15m,3,POST,6,1.4311067088797222,0.20587920490585696,6.951162252505654,33.33333333333333,0.9090909090909091,36.6666263333777,33.33333333333333,51.090909090909086,-76.30713130577504
EXCHANGE_SECURITY,+30m,6,POST,6,1.4695821066069925,0.2859624331873203,5.139056033238848,16.666666666666664,1.090909090909091,15.277763773160984,33.33333333333333,51.63636363636363,-75.59468775464022
EXCHANGE_SECURITY,+1h,12,POST,6,1.6482287784999272,0.3837394996490768,4.295165039935061,33.33333333333333,1.090909090909091,30.55552754632197,16.666666666666664,52.81818181818182,-163.04567028472644
EXCHANGE_SECURITY,+4h,48,POST,6,3.3128048309537896,0.802415377805241,4.128535910514353,33.33333333333333,0.45454545454545453,73.33317200035493,33.33333333333333,52.36363636363637,-282.10919227336245
EXCHANGE_SECURITY,+12h,144,POST,6,5.237497288267404,1.4392783568175658,3.638972005996246,33.33333333333333,0.45454545454545453,73.33317200035493,33.33333333333333,50.90909090909091,-334.4451405716035
EXCHANGE_SECURITY,+24h,288,POST,6,9.50409228454377,2.0943799029508114,4.537900565820324,33.33333333333333,0.5454545454545455,61.11099907427947,33.33333333333333,48.90909090909091,-592.3419028021352
EXCHANGE_SECURITY,+48h,576,POST,6,7.961435430745922,2.8715039526693125,2.7725654532983057,16.666666666666664,0.45454545454545453,36.66658600017747,33.33333333333333,52.27272727272727,-612.2226967653669
EXCHANGE_SECURITY,-24h,-288,PRE,6,5.118890550857161,2.2748300492704345,2.250228891723124,16.666666666666664,1.090909090909091,15.277763773160984,0.0,51.090909090909086,-511.88905508571617
EXCHANGE_SECURITY,-12h,-144,PRE,6,2.723406265008954,1.5334003076354825,1.7760557862106359,16.666666666666664,0.8181818181818182,20.370345473281457,33.33333333333333,51.72727272727272,-178.93057760584696
EXCHANGE_SECURITY,-4h,-48,PRE,6,2.29861238593303,0.8461507836784508,2.716548532156181,16.666666666666664,1.2727272727272727,13.095227806130532,33.33333333333333,52.0,-105.93951525865286
